checkpoint_id,family,variant,city,availability,ablation,checkpoint_bytes,index_bytes,data_bytes,checkpoint_sha256,index_sha256,data_sha256
ablation/results_ablation_ny/no_enhanced_state/avail_66,pgfa,pgfa,NY,66,no_enhanced_state,97,1152,410063,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,73a72f54fbddc68be7153f16532252ac2843878c50d20972234dfccb49e5e46f,d36a88a357b77836591455eebae18aac669a0bcf250826bc763eba1013a366df
ablation/results_ablation_ny/no_flow_aware_attention/avail_100,pgfa,pgfa,NY,100,no_flow_aware_attention,97,1152,410063,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,10b08784e82e1acdd47c3a94d7fdf3635f78ea2a6c0534b4b9ef84407cfd6e00,5a5cc1f3dd53b1ae9700f06b2efc0c2d5c7ccb8de3ec008e8631b71a88960f7c
ablation/results_ablation_ny/no_flow_aware_attention/avail_33,pgfa,pgfa,NY,33,no_flow_aware_attention,97,1152,410063,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,dc75a490fce70bc4fbf493317dcfa0cd2b841f96ae0dfa11c40a456fc7978119,b8900621ccbe67f25d5ac07162cd56a6d86dcaf3e2556167fb1f17eaa485a83a
ablation/results_ablation_ny/no_flow_aware_attention/avail_66,pgfa,pgfa,NY,66,no_flow_aware_attention,97,1152,410063,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,59b40e05c798bb72f31037e48db31576bb0b87f0b3a6f0fbe325bcc814314b7f,35c3e060032dd7b42e5c11da65630a8d5bf796b8a53f0a92dbb81cccb25b93d0
ablation/results_ablation_ny/no_policy_flow_prior/avail_100,pgfa,pgfa,NY,100,no_policy_flow_prior,97,1152,410063,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,8673e01c6b7c0ce3c97fa1898e698d4bcc9835b3aabc1e75534f856bb0708e43,7030dea8b35e05fdf6e83ba8579b578e7a60409f4da0cf736d46120ff7301351
ablation/results_ablation_ny/no_policy_flow_prior/avail_100_old_20260708_215244,pgfa,pgfa,NY,100,no_policy_flow_prior,97,1152,410063,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,6791a3dbe319b81172e4c2c9cfb903d85c385524366daec39c6fe43c1ba8dd57,547361e411bf852791cfbf0e675864570211a9738f25f22bb0cb5dc659e27587
ablation/results_ablation_ny/no_policy_flow_prior/avail_33,pgfa,pgfa,NY,33,no_policy_flow_prior,97,1152,410063,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,f6ac39af6e2dd096c2f1bcea89c6fe7805f1c5472d71811f5ea3317bd386e6d0,75d3c719d924a6a893c7ae5ef54c010cd45ed95a6166f19260d9478c6aa3fd45
ablation/results_ablation_ny/no_policy_flow_prior/avail_66,pgfa,pgfa,NY,66,no_policy_flow_prior,97,1152,410063,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,99fe7b104d70b6cfc0be8ed0f16113663f565dc29b58de4b0f928a19d8f72b9d,3ede86d666d6d281d4445be2ac6dc51bc6836dcac8ca4af15c8fe73acfec92cf
ablation/results_ablation_ny/no_policy_guided_message/avail_100,pgfa,pgfa,NY,100,no_policy_guided_message,97,1152,410063,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,f0dd69754a092aeafa3d3c60465d22db613d5156e4ae954262793752431835f6,b6bc6953f0aeab9e9634c821d1543427d9850350c5568603014ebe767e7e356d
ablation/results_ablation_ny/no_policy_guided_message/avail_33,pgfa,pgfa,NY,33,no_policy_guided_message,97,1152,410063,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,006873f70805d833b4f68c15427b677b0b40f7572e44dc25875b601ec2a2a648,42f1f4d86f58445c062506fe95d970bd575076596ecd88d0030459849ab4072c
ablation/results_ablation_ny/no_policy_guided_message/avail_66,pgfa,pgfa,NY,66,no_policy_guided_message,97,1152,410063,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,8415983843798bf4e813d005016732a0f767dc6da1224bbb300de856fd370929,ce02424da947a75da71864d6afa0ebc5dc044de5092af84da76602eb78e8e452
CD/results_pgfa_rl_100,pgfa,pgfa,CD,100,full,97,1152,409551,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,cbf90ed228f45c0976681e27bb4b9f744c3260bc75a5f4558855a0938ecbada0,80bddea92be47cd4453010cd78836104a8987005c400953d98015c85f76d742d
CD/results_pgfa_rl_33,pgfa,pgfa,CD,33,full,97,1152,409551,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,d3675272839fd835e895e9eb9080a3e915d5f4460e66a4dd286c2fbfbe4ec762,4dd71c5713736ad416c820f248fb6d3ab18fe408a579932a7dcca6c8286f9418
CD/results_pgfa_rl_66,pgfa,pgfa,CD,66,full,97,1152,409551,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,f9b96269b977390daf91fd245bf13fbb625e9c5ed03076e23f15900a6954b073,e4e0eeb7f096b1bac4c5e673856dc070c461a2b95dd23fcd10ddeb9ab27ca9f8
Duibi_CD/DigitalTwin_D3QN/CD/avail_100,baseline,dt_d3qn,CD,100,full,97,1655,679758,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,1f23c81b3de75ffd25428836d70398460f4d623955ec9edd1873c92504ebc304,f04dc5da00a80fbc8084644547e7da3f6ffc0568d51074855b2c4c1fe1d9957a
Duibi_CD/DigitalTwin_D3QN/CD/avail_33,baseline,dt_d3qn,CD,33,full,97,1655,679758,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,3cd4f23df30b062d2868e8bf0c46d35d52766d77374043b79c5961f49199a584,b19a57c5eb1f2299159c4d15f461ab1862c172f07f8d18f1d22cf5e60feb3998
Duibi_CD/DigitalTwin_D3QN/CD/avail_66,baseline,dt_d3qn,CD,66,full,97,1655,679758,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,2ea1e3d7acb318ed4aad74f3b0355b018c5f422e6766b70472ce9e7850fe24e3,ee9c9cf6625605f89e27214c15f3a24c8399eb55972475e49f31a5d60c2c692b
Duibi_CD/EdgeAware_GAT/CD/avail_100,baseline,edge_aware_gat,CD,100,full,97,1346,677626,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,f309ef198005e4e5e829bf60f26eaa57f93425d91758adc55b27575a083412f9,84604d25fe484d65975e24246974c05104b48cb80f3aa47147fc3cfc9402374f
Duibi_CD/EdgeAware_GAT/CD/avail_33,baseline,edge_aware_gat,CD,33,full,97,1346,677626,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,e3a9c411f0c2e1c0e74c67d56ce7e7ca825a90b74076a684f1df7084e426f93e,6eb6ea7c4d1cb98bfeb98eaa689b97024fb06c3e32d8b6acbbede9ab7d145cb3
Duibi_CD/EdgeAware_GAT/CD/avail_66,baseline,edge_aware_gat,CD,66,full,97,1346,677626,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,9ae7024aa90107431807a392ce6b41b4d08f336ba23fe9aa7f23973653131872,c960781e11516f8709cf6db24e81dc01e458c9a026f00c55a0ef73d33e208d4c
Duibi_CD/MM_STMAP/CD/avail_100,baseline,mm_stmap,CD,100,full,97,2680,648449,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,0bf1f0077ecfdd6237733c85e65dfd9860d8ca9ba7929ef892805a689988e730,9efc4d85d56e460a28db6670fbcecb48569937e3ebca01583e337f54a3a1f689
Duibi_CD/MM_STMAP/CD/avail_33,baseline,mm_stmap,CD,33,full,97,2680,648449,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,9614ea2a9038514fe2c11ccfc7534ebf880b834d3244b17c38de8f362d03ede0,ef1da13f200719acb01839d546c4e12349514eea8f023c0d121c57bb7b667eab
Duibi_CD/MM_STMAP/CD/avail_66,baseline,mm_stmap,CD,66,full,97,2680,648449,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,e143cb29b73778addd59b4ff0c02afa26be0d4fb90fce65d6c22b1e58a239125,4bf0fd2a8048eaebb8e19466704555e7c7b4a35dd4dff902fc7cecee3d466b1a
Duibi_CD/MultiModal_STGCN/CD/avail_100,baseline,multimodal_stgcn,CD,100,full,97,1807,445664,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,aafeae53250dd4679963c9bd23cd5ee65cf58578252a204062af31ed23c2047c,388a63588eff52b4c49c7450424dcf51a93e6a0144e736c86cd04b7744a7fbbc
Duibi_CD/MultiModal_STGCN/CD/avail_33,baseline,multimodal_stgcn,CD,33,full,97,1807,445664,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,ea259d879f6c85c42cfa50d097818bf1ed8f505a39c0b2e974418652a83ed50a,5350ed8a772835555275d442c0a9c248d4005e76b0e4b44c15872c23381972f9
Duibi_CD/MultiModal_STGCN/CD/avail_66,baseline,multimodal_stgcn,CD,66,full,97,1807,445664,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,d85570bc6945e3811d388d14167bc01c1d88e7cc0282d0ec9c7d5f799893d093,35f3319ccc5fcbdfe778aa373bc75762f7a1ce72bb3abd961bd99d5348ecce94
Duibi_CD/QoSQueue_DTSM/CD/avail_100,baseline,qos_queue_dtsm,CD,100,full,97,1270,350173,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,48b98493d2e18a813b445b5da81c9ceffb433bd691ccbb3b850fed329d280503,5a7a0cccff558c3ba3f481d59c1535a2ba262af3b8642b9b7546a0f0838f5904
Duibi_CD/QoSQueue_DTSM/CD/avail_33,baseline,qos_queue_dtsm,CD,33,full,97,1270,350173,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,7c82eb393fd78712556770283ddc61af2a97103ab72309a7d0ccdfff799faa5d,1ab2808f59e66a6f74d0c745fec4329bbf535ca5977d68aa381b5e3d93a05568
Duibi_CD/QoSQueue_DTSM/CD/avail_66,baseline,qos_queue_dtsm,CD,66,full,97,1270,350173,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,b763aa5b290b88221c1c4ad2bfdaf7ef85aae16f21379ee49d1392dad7c9f46c,d512adf9dff818eda252904565d231ffebb8049b316d85de49825fe315d9ab55
Duibi_CD/StructuralHeuristic_GNN/CD/avail_100,baseline,structural_heuristic,CD,100,full,97,1156,676853,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,4b55b8f1f220742db7ea601d2ba00434f3c8ecf744a77192451764bb7e73e7a6,78352456bea386f5c59be99adf5c710c9e200ec8cfb2177c852a017fd182e6e4
Duibi_CD/StructuralHeuristic_GNN/CD/avail_33,baseline,structural_heuristic,CD,33,full,97,1156,676853,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,d54244a021cd763062fc139fb3ac331c815b2c660a0eeff750ae208ae75161ed,236d5a0573b2dc7ef999123ecec1fc8f0c557c4011bd1b31fe2200b8ba286272
Duibi_CD/StructuralHeuristic_GNN/CD/avail_66,baseline,structural_heuristic,CD,66,full,97,1156,676853,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,a069cbfe38aa6fbe52fc78ceeec39ec39b0ee820f4186504a3202ab4564bbc58,30d4dd32cc1ef896b6aee29bca8410c2f4ff3cc58032cd629d32816db40b0249
Duibi_CD/WeightedLinearAttention_STGCN/CD/avail_100,baseline,wla_stgcn,CD,100,full,97,2413,450269,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,ab90e0aaaa6ef7bb4f5659ebd59726fc4a0481d7bff421dd993a9ab424764b52,454d6173cbff9fa383a5dc86b78d83cc6a3034cb45554afd11b5a9e2d7689784
Duibi_CD/WeightedLinearAttention_STGCN/CD/avail_33,baseline,wla_stgcn,CD,33,full,97,2413,450269,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,a3fa016833e53e29ff1fbbc40f6e433776eb6902fab3f8797b40fdb39bc50e05,d117d92a9e7976d696f9f569ce9db1dd88ea319b2fa2b1478dbc0a029041a16d
Duibi_CD/WeightedLinearAttention_STGCN/CD/avail_66,baseline,wla_stgcn,CD,66,full,97,2413,450269,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,e212f2ab6f9e33b0170c1b8c58d0cf6b78942bc43c5cc8b895ffb36a8840a77d,898ccc6383f5a17f2a2fb6fbfeffa3ede90c2c0ca749d004210697334adf4371
Duibi_NY/DigitalTwin_D3QN/NY/avail_100,baseline,dt_d3qn,NY,100,full,97,1655,680270,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,7a95b871a4181f3555e3e417685a8d41111950521ebff94f5484714d5ba114f1,c4694007da73997270c32a4b1df4f87f6d899ff0ed258bf1c56948bfed1cf1bc
Duibi_NY/DigitalTwin_D3QN/NY/avail_33,baseline,dt_d3qn,NY,33,full,97,1655,680270,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,6c25e373b6a2d836c7cf250069143d18d531e47f3d2d15c6611fb444afe74f5a,774ea3f67fe907f3b5ceb32abaecc691aa1aad7ca536cd7e0152bbd490c8621d
Duibi_NY/DigitalTwin_D3QN/NY/avail_66,baseline,dt_d3qn,NY,66,full,97,1655,680270,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,247aec4b6118aecf5fb803a4ef5e03dbcf14995b5675dc8fbf22777bbb1d45ed,50163a852bbaae34aa5c6d095448dbbf6762f33e26e407d36f17df74969a91a2
Duibi_NY/EdgeAware_GAT/NY/avail_100,baseline,edge_aware_gat,NY,100,full,97,1346,678138,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,8edc757aece7076f0c4872cccf20f294a4d5d03eef4bfa22b237c145a2cc9555,9f66b9fcb3f5d80048cf6955239b5096902cf2a7e789def15967e1425705ae8b
